Stephen Higgins 1991 Mid 875899255 Yes
Gerry Fahey 1989 forward 87956452 Yes
Tom Daly 1993 goalkeeper 0872456245 Yes
Fred Carr 1992 back 8565446644 Yes
Ronan Glynn 1988 back 0856545215 Yes
Lesia Sargent 1984 back 87998904 Yes
Sharen Lima 1985 mid 87998905 Yes
Renita Vance 1986 forward 87998906 Yes
Chara Hemsley 1987 back 87998907 Yes
Chet Cluff 1988 mid 87998908 No
Angelia Crumpler 1980 forward 0879564523 Yes
Morgan Schumacher 1981 back 87998901 Yes
Fausto Horta 1982 mid 87998902 Yes
Lino Mckelvey 1983 forward 87998903 Yes
Luciana Sholtis 1989 forward 87998909 No
Mercedes Aurand 1990 back 87998910 No
Ileana Simmonds 1991 mid 87998911 No
Jewell Stephens 1992 forward 87998912 No
Cormac Flynn 1995 Mid 0865456875 Yes
Conor Fahey 1987 Mid 086545618 Yes
Gina Isaacson 1993 back 87998913 No
Hermelinda Higa 1994 mid 87998914 No
Fredda Vrba 1995 forward 87998915 No
